entidad,hhi,m_total,n_proveedores,nivel
MUNICIPALIDAD DISTRITAL DE LUYANDO,5965.1,11211186.92,10,alto
MUNICIPALIDAD DISTRITAL DE LLOQUE,5960.3,1321101.0,5,alto
MUNICIPALIDAD DISTRITAL DE HUACHOCOLPA - HUANCAVELICA,5948.9,15049399.540000001,10,alto
CORTE SUPERIOR DE JUSTICIA DE ANCASH,5948.8,5731081.52,5,alto
MUNICIPALIDAD DISTRITAL DE KISHUARA,5948.6,7295465.14,6,alto
MUNICIPALIDAD DISTRITAL DE LARIA,5940.3,834568.69,5,alto
MUNICIPALIDAD DISTRITAL DE LA LIBERTAD DE PALLAN,5900.3,3534100.6799999997,5,alto
GOBIERNO REGIONAL DE PIURA - HOSPITAL DE APOYO I NUESTRA SEÑORA DE LAS MERCEDES,5871.7,13081366.96,8,alto
MUNICIPALIDAD DISTRITAL DE CACERES DEL PERU,5867.0,4366852.21,5,alto
MUNICIPALIDAD DISTRITAL DE CAJARURO,5837.5,37703903.55,7,alto
MUNICIPALIDAD DISTRITAL DE SAN LUIS - CANETE,5836.6,1879066.27,5,alto
MINISTERIO PUBLICO - GERENCIA ADMINISTRATIVA DE AREQUIPA,5836.4,18369949.84,9,alto
MUNICIPALIDAD DISTRITAL DE LUCMA - GRAN CHIMU,5825.1,2027086.69,5,alto
MUNICIPALIDAD DISTRITAL DE LARES,5787.3,22367871.489999995,28,alto
MUNICIPALIDAD DISTRITAL DE SANTA MARIA DEL VALLE,5775.5,32554733.39,12,alto
CONTRALORIA GENERAL DE LA REPUBLICA,5763.9,11762302.600000001,22,alto
MUNICIPALIDAD PROVINCIAL DE SANDIA,5758.2,32415020.99,17,alto
MUNICIPALIDAD DISTRITAL ALEXANDER VON HUMBOLDT,5752.7,3976444.7,6,alto
MUNICIPALIDAD DISTRITAL DE SALLIQUE,5747.0,13965009.92,9,alto
MUNICIPALIDAD DISTRITAL DE JEQUETEPEQUE,5729.8,5224577.59,7,alto
MUNICIPALIDAD DISTRITAL DE NAMORA,5666.7,7399207.789999999,7,alto
UNIDAD EJECUTORA 003: FOMENTO AL CONSUMO HUMANO DIRECTO - A COMER PESCADO,5652.4,3293842.42,6,alto
MUNICIPALIDAD DISTRITAL DE LA MERCED - AIJA,5592.4,12230478.370000001,9,alto
MUNICIPALIDAD DISTRITAL DE GREGORIO PITA PAUCAMARCA,5583.9,4674543.26,7,alto
MUNICIPALIDAD DISTRITAL DE QUEROCOTILLO,5567.6,42966344.0,6,alto
MUNICIPALIDAD DISTRITAL DE SANTO DOMINGO DE LA CAPILLA,5558.2,27028424.4,9,alto
UNIVERSIDAD NACIONAL DE JULIACA,5530.2,78509516.66,29,alto
GOBIERNO REGIONAL DE LAMBAYEQUE - GERENCIA REGIONAL DE AGRICULTURA LAMBAYEQUE,5524.9,60180991.879999995,15,alto
MUNICIPALIDAD DISTRITAL DE HUAYLLACAYAN,5524.8,6345704.97,5,alto
MUNICIPALIDAD DISTRITAL DE CAICAY,5507.4,1103095.5,5,alto
GOBIERNO REGIONAL DE PASCO - DIRECCION  REGIONAL  DE TRANSPORTES Y COMUNICACIONES,5503.9,52494410.57,21,alto
AGENCIA DE PROMOCION DE LA INVERSION PRIVADA - PROINVERSION,5496.7,28468780.54,39,alto
MUNICIPALIDAD DISTRITAL DE TABACONAS,5492.1,14897302.27,9,alto
MUNICIPALIDAD DISTRITAL DE PAZOS,5483.9,15984694.3,9,alto
MUNICIPALIDAD DISTRITAL DE CHORAS,5475.8,13343058.19,7,alto
MUNICIPALIDAD DISTRITAL DE SAN ANTONIO DE CUSICANCHA,5471.9,3356744.85,5,alto
MUNICIPALIDAD DISTRITAL DE EL ESLABON,5457.2,28360589.56,6,alto
MUNICIPALIDAD DISTRITAL DE SAN PEDRO DE CHUNAN,5439.9,4603990.74,7,alto
GOBIERNO REGIONAL DE JUNIN - UNIDAD TERRITORIAL DE SALUD JAUJA,5438.4,7262486.77,23,alto
MUNICIPALIDAD DISTRITAL DE CAMPORREDONDO,5431.1,1982621.6199999999,7,alto
MUNICIPALIDAD DISTRITAL DE LA RAMADA,5406.3,1759826.61,6,alto
MUNICIPALIDAD DISTRITAL DE ALTO TAPICHE,5398.6,5036543.37,7,alto
MUNICIPALIDAD DISTRITAL DE PATAPO,5352.3,3940030.75,5,alto
MUNICIPALIDAD DISTRITAL DE ZAPATERO,5344.3,7147749.24,8,alto
MUNICIPALIDAD DISTRITAL DE TORRES CAUSANA,5332.6,13034699.88,6,alto
ZONA REGISTRAL N° VIII SEDE HUANCAYO,5331.4,8283070.28,9,alto
MUNICIPALIDAD DISTRITAL DE PHARA,5315.6,9644762.49,14,alto
MUNICIPALIDAD DISTRITAL DE VICHAYAL,5312.9,5847086.409999999,7,alto
MUNICIPALIDAD PROVINCIAL DE HUARI,5309.2,102148388.87,61,alto
CORTE SUPERIOR DE JUSTICIA DE APURIMAC,5305.3,2495552.0,5,alto
MUNICIPALIDAD DISTRITAL DE VIZCATAN DEL ENE,5284.8,7241621.36,9,alto
GOBIERNO REGIONAL DE SAN MARTIN - ALTO HUALLAGA TOCACHE,5277.0,29435659.48,15,alto
MUNICIPALIDAD DISTRITAL DE LAMBRAS,5271.9,6029831.7,9,alto
MUNICIPALIDAD DISTRITAL DE CHANCAY BAÑOS,5260.0,6454265.22,6,alto
MUNICIPALIDAD DISTRITAL DE INDEPENDENCIA - VILCASHUAMAN,5223.1,4913369.13,5,alto
MUNICIPALIDAD DISTRITAL DE DANIEL HERNANDEZ,5219.7,11160111.59,10,alto
MUNICIPALIDAD DISTRITAL DE SAN MARTIN DE PORRES,5216.3,196274965.32999998,59,alto
MUNICIPALIDAD DISTRITAL DE SALPO,5209.0,27753025.92,5,alto
MUNICIPALIDAD DISTRITAL DE NUEVO IMPERIAL,5203.9,49042270.26,14,alto
MUNICIPALIDAD DISTRITAL DE INKAWASI,5200.0,18105995.09,28,alto
MUNICIPALIDAD DISTRITAL DE COISHCO,5192.9,23560359.18,12,alto
GOBIERNO REGIONAL DEL CALLAO - HOSPITAL DANIEL ALCIDES CARRION,5171.6,11138610.870000001,5,alto
MUNICIPALIDAD DISTRITAL DE NEPEÑA,5159.8,9959845.25,6,alto
MUNICIPALIDAD DISTRITAL DE MOLLEPATA - SANTIAGO DE CHUCO,5147.3,5769690.57,5,alto
MUNICIPALIDAD PROVINCIAL DE PUERTO INCA,5142.7,42992583.04000001,24,alto
MUNICIPALIDAD DISTRITAL DE SAN FRANCISCO,5134.3,17759997.43,10,alto
MUNICIPALIDAD DISTRITAL DE PARIAHUANCA - HUANCAYO,5133.8,1426129.43,6,alto
MUNICIPALIDAD DISTRITAL DE OYOTUN,5124.2,16074923.680000002,8,alto
MUNICIPALIDAD DISTRITAL DE CAMINACA,5112.4,3135968.7800000003,7,alto
UNIDAD DE GESTION EDUCATIVA LOCAL UGEL 06 - VITARTE,5112.4,18378045.85,12,alto
MUNICIPALIDAD DISTRITAL DE JAZAN,5106.5,33138531.03,9,alto
MUNICIPALIDAD DISTRITAL DE MOLLEBAMBA,5085.8,6732577.57,5,alto
MUNICIPALIDAD DISTRITAL DE HUANCHACO,5081.0,12359734.080000002,11,alto
MUNICIPALIDAD DISTRITAL DE SHILLA,5070.7,1245146.0,6,alto
MUNICIPALIDAD DISTRITAL DE RAGASH,5067.8,3324942.33,6,alto
MUNICIPALIDAD DISTRITAL DE HUAYUCACHI,5057.0,25330046.419999998,6,alto
UNIVERSIDAD NACIONAL AUTONOMA DE HUANTA,5039.6,22056246.240000002,11,alto
MUNICIPALIDAD DISTRITAL DE COLQUEPATA,5031.3,13414006.870000001,16,alto
MUNICIPALIDAD DISTRITAL DE URARINAS,5030.6,19789033.05,6,alto
MINISTERIO DE EDUCACION,5024.8,11642587.569999998,13,alto
MUNICIPALIDAD DISTRITAL DE SAN ANTONIO DE CACHI,5020.0,6071320.99,6,alto
SUPERINTENDENCIA NACIONAL DE EDUCACION SUPERIOR UNIVERSITARIA,5016.5,9050959.370000001,15,alto
MUNICIPALIDAD DISTRITAL DE KICHKI,5012.3,14302377.469999999,8,alto
ZONA REGISTRAL N° III SEDE MOYOBAMBA,5003.6,4742589.23,7,alto
MUNICIPALIDAD DISTRITAL DE LAYO,5003.4,34449744.9,13,alto
MUNICIPALIDAD DISTRITAL DE QUINUA,4998.4,5294386.9399999995,7,alto
MUNICIPALIDAD DISTRITAL DE OCOBAMBA - CHINCHEROS,4994.1,6145672.23,12,alto
MUNICIPALIDAD DISTRITAL DE AGUA BLANCA,4981.2,2398209.3400000003,6,alto
MUNICIPALIDAD DISTRITAL DE HUARANGO,4970.1,22634126.88,10,alto
MUNICIPALIDAD DISTRITAL DE PARARIN,4963.4,12173734.87,8,alto
MUNICIPALIDAD DISTRITAL DE YANATILE,4963.2,12862658.759999998,16,alto
ZONA REGISTRAL N° XII SEDE AREQUIPA,4954.6,6302015.210000001,9,alto
CONTRALORÍA GENERAL - GESTIÓN DE PROYECTOS Y FORTALECIMIENTO DE CAPACIDADES,4909.8,17877914.0,31,alto
MUNICIPALIDAD DISTRITAL DE DEAN VALDIVIA,4899.5,2356838.92,6,alto
ZONA REGISTRAL N° VII SEDE HUARAZ,4897.2,7844679.59,6,alto
MUNICIPALIDAD DISTRITAL DE SANTIAGO DE CHALLAS,4875.2,3501329.34,6,alto
MUNICIPALIDAD DISTRITAL DE SECCLLA,4867.9,4048682.08,11,alto
MUNICIPALIDAD DISTRITAL DE TUMAN,4861.6,5858013.129999999,9,alto
