ranking,proveedor,monto_total,pct_del_total,acumulado_pct
159,CONSORCIO BOSCONIA,57919271.04,0.08,35.562
160,CONSORCIO PACASMAYO,57624245.82,0.08,35.642
161,OPTIMUS SECURITY S.A.C. -  OPTIMUS SEC S.A.C.,57483832.12,0.08,35.722
162,CONSTRUCTORA G.N. GAMBOA & CIA SOCIEDAD ANONIMA CERRADA,57377139.91,0.079,35.801
163,CONSORCIO PAJATEN,56658980.58,0.078,35.879
164,FERREYROS SOCIEDAD ANÓNIMA,56584592.19,0.078,35.957
165,CONSORCIO PIEDRA HERMOSA,56545214.82,0.078,36.035
166,CONSORCIO INFRAESTRUCTURA SUR,56371067.36,0.078,36.113
167,CONSORCIO YANAHUARA,56232102.34,0.078,36.191
168,CONSORCIO GRUPO G&R,56039869.14,0.078,36.269
169,CONSORCIO SAN ANDRES DE HUAYNACANCHA,55667410.98,0.077,36.346
170,CONSORCIO VIAL MIRAFLORES,55108676.37,0.076,36.422
171,CONSORCIO NEGOCIACIONES HAROLS EIRL - VEINSA AMAZONICO EIRL,54849280.0,0.076,36.498
172,LABORATORIOS AMERICANOS S.A.,54318102.77,0.075,36.573
173,CONSORCIO CORPORATE,53842659.48,0.075,36.648
174,CONSORCIO ENERGIA VIVA,53798880.24,0.074,36.722
175,CONSORCIO 906,53600400.0,0.074,36.796
176,CONSORCIO MOYOBAMBA,53223482.38,0.074,36.87
177,CONSORCIO VESUR,53142308.92,0.074,36.944
178,CONSORCIO EL CHIRA,52966656.46,0.073,37.017
179,CONSORCIO A&E,52689344.19,0.073,37.09
180,TOWER AND TOWER S.A.,52599703.44,0.073,37.163
181,CONSORCIO EJECUTOR GUADALUPE,52450281.83,0.073,37.236
182,CONSORCIO VIAL OCROS,52101169.39,0.072,37.308
183,FARMA MIAVIDA SOCIEDAD ANONIMA CERRADA,52087034.59,0.072,37.38
184,CONSTRUCTORA Y SERVICIOS SA,51668794.76,0.072,37.452
185,CONSORCIO EJECUTOR,51556102.21,0.071,37.523
186,CORPORATE SECURITY CONSULTANTS S.A.C. - GRUPO C6V SECURITY S.A.C.,51412803.48,0.071,37.594
187,CONSORCIO ALTO RENDIMIENTO,51346610.49,0.071,37.665
188,PLUXEE PERU S.A.C.,50899629.66,0.07,37.735
189,SUPERMERCADOS PERUANOS SOCIEDAD ANONIMA 'O ' S.P.S.A.,50662544.5,0.07,37.805
190,CONSORCIO PROYECTO LOAYZA,50400000.0,0.07,37.875
191,CONSORCIO GUARDIA CIVIL COMPANY SAC - OPTIMUS SECURITY SAC,50203395.96,0.069,37.944
192,CONSORCIO EJECUTOR MARIATEGUI,49963301.29,0.069,38.013
193,CONSORCIO BOLIVARIANOS PERU,49820515.2,0.069,38.082
194,CONSORCIO EJECUTOR CUSCO,49767564.58,0.069,38.151
195,CONSORCIO C.S. VISTA ALEGRE,49755192.2,0.069,38.22
196,QUIMPAC S.A.,49555178.4,0.069,38.289
197,CONSORCIO CRG HOLDING,49457882.65,0.068,38.357
198,CONTRATISTAS GENERALES A&L SAN PABLO S.A.C.,49456068.99,0.068,38.425
199,CONSORCIO RAMESH,49117222.44,0.068,38.493
200,INTEGRIT SOCIEDAD ANONIMA CERRADA - INTEGRIT S.A.C.,49037864.96,0.068,38.561
201,REPRESENTACIONES DECO S.A.C,49016966.72,0.068,38.629
202,CASTILLO RUIZ JOSE HUMBERTO,48799418.56,0.068,38.697
203,ROCHE FARMA (PERU) S.A.,48696820.0,0.067,38.764
204,CONSORCIO CANVIA - SONDA,48665020.0,0.067,38.831
205,LABORATORIOS AC FARMA S.A.,47785014.5,0.066,38.897
206,CONSORCIO SEÑOR DEL COSTADO,47017429.18,0.065,38.962
207,CONSORCIO LOS INCAS,46769511.04,0.065,39.027
208,CONSORCIO SANEAMIENTO EHC,46663400.0,0.065,39.092
209,CONSORCIO INDUSTRIAS ROLAND PRINT SAC - INRO PLASTICOS SAC,46350813.49,0.064,39.156
210,CONSORCIO TALLERES ESPECIALIZADOS L,46248023.36,0.064,39.22
211,CONSORCIO OLIMPICO,45778737.76,0.063,39.283
212,PACIFICO COMPAÑIA DE SEGUROS Y REASEGUROS,45750203.7,0.063,39.346
213,CONSORCIO DEL NORTE,45680264.03,0.063,39.409
214,CONSORCIO LOS ANDES,45354978.51,0.063,39.472
215,CONSORCIO LIBERTAD,45273085.18,0.063,39.535
216,CONSORCIO PIRAMIDE,45006174.89,0.062,39.597
217,CONSORCIO GREEN WORLD,44876105.0,0.062,39.659
218,SERVICIO INDUSTRIAL DE LA MARINA S.A.,44867265.82,0.062,39.721
219,CONSORCIO VELILLE,44656629.41,0.062,39.783
220,CEMENTOS PACASMAYO S.A.A.,44626690.49,0.062,39.845
221,CONSORCIO VIAS URBANAS,44163176.11,0.061,39.906
